FishID,FishTypeID,Status ,Length,SiteID,TripID,Date_start,Year,,
2485,BBH,NN,85,10,3,10/25/93,1993,,
2486,BBH,NN,111,10,3,10/25/93,1993,,
2487,BBH,NN,120,10,3,10/25/93,1993,,
2488,BBH,NN,105,10,3,10/25/93,1993,,
2489,BBH,NN,90,10,3,10/25/93,1993,,
2490,BBH,NN,110,10,3,10/25/93,1993,,
2491,BBH,NN,95,10,3,10/25/93,1993,,
2492,BBH,NN,105,10,3,10/25/93,1993,,
4722,BBH,NN,245,6,5,10/17/94,1994,,
4723,BBH,NN,200,6,5,10/17/94,1994,,
4724,BBH,NN,200,6,5,10/17/94,1994,,
4725,BBH,NN,242,6,5,10/17/94,1994,,
5410,BBH,NN,183,10,5,10/17/94,1994,,
5411,BBH,NN,227,10,5,10/17/94,1994,,
5412,BBH,NN,174,10,5,10/17/94,1994,,
5413,BBH,NN,240,10,5,10/17/94,1994,,
5414,BBH,NN,84,10,5,10/17/94,1994,,
5415,BBH,NN,107,10,5,10/17/94,1994,,
5416,BBH,NN,206,10,5,10/17/94,1994,,
5417,BBH,NN,110,10,5,10/17/94,1994,,
5418,BBH,NN,76,10,5,10/17/94,1994,,
5419,BBH,NN,95,10,5,10/17/94,1994,,
5420,BBH,NN,95,10,5,10/17/94,1994,,
5421,BBH,NN,86,10,5,10/17/94,1994,,
5422,BBH,NN,100,10,5,10/17/94,1994,,
5423,BBH,NN,91,10,5,10/17/94,1994,,
5424,BBH,NN,92,10,5,10/17/94,1994,,
5425,BBH,NN,91,10,5,10/17/94,1994,,
5426,BBH,NN,83,10,5,10/17/94,1994,,
6950,BBH,NN,181,6,7,10/17/95,1995,,
6951,BBH,NN,250,6,7,10/17/95,1995,,
6952,BBH,NN,78,6,7,10/17/95,1995,,
7440,BBH,NN,90,10,7,10/17/95,1995,,
7441,BBH,NN,145,10,7,10/17/95,1995,,
7442,BBH,NN,128,10,7,10/17/95,1995,,
7443,BBH,NN,153,10,7,10/17/95,1995,,
7444,BBH,NN,129,10,7,10/17/95,1995,,
7445,BBH,NN,155,10,7,10/17/95,1995,,
7446,BBH,NN,155,10,7,10/17/95,1995,,
7447,BBH,NN,105,10,7,10/17/95,1995,,
7448,BBH,NN,130,10,7,10/17/95,1995,,
7449,BBH,NN,170,10,7,10/17/95,1995,,
7450,BBH,NN,115,10,7,10/17/95,1995,,
7451,BBH,NN,121,10,7,10/17/95,1995,,
7452,BBH,NN,131,10,7,10/17/95,1995,,
9925,BBH,NN,180,9,9,10/17/96,1996,,
9926,BBH,NN,182,9,9,10/17/96,1996,,
9927,BBH,NN,206,9,9,10/17/96,1996,,
9928,BBH,NN,212,9,9,10/17/96,1996,,
9929,BBH,NN,236,9,9,10/17/96,1996,,
14100,BBH,NN,138,1,13,10/19/98,1998,,
22380,SKR,N,91,1,17,10/16/00,2000,,
22381,SKR,N,107,1,17,10/16/00,2000,,
22382,SKR,N,88,1,17,10/16/00,2000,,
22383,SKR,N,67,1,17,10/16/00,2000,,
22384,SKR,N,103,1,17,10/16/00,2000,,
22385,SKR,N,141,1,17,10/16/00,2000,,
22386,SKR,N,101,1,17,10/16/00,2000,,
22387,SKR,N,122,1,17,10/16/00,2000,,
22388,SKR,N,149,1,17,10/16/00,2000,,
22389,SKR,N,125,1,17,10/16/00,2000,,
22390,SKR,N,108,1,17,10/16/00,2000,,
22391,SKR,N,102,1,17,10/16/00,2000,,
22392,SKR,N,68,1,17,10/16/00,2000,,
22393,SKR,N,115,1,17,10/16/00,2000,,
22394,SKR,N,90,1,17,10/16/00,2000,,
22395,SKR,N,107,1,17,10/16/00,2000,,
22396,SKR,N,115,1,17,10/16/00,2000,,
22397,SKR,N,128,1,17,10/16/00,2000,,
22398,SKR,N,66,1,17,10/16/00,2000,,
22399,SKR,N,77,1,17,10/16/00,2000,,
22400,SKR,N,89,1,17,10/16/00,2000,,
22401,SKR,N,87,1,17,10/16/00,2000,,
22402,SKR,N,71,1,17,10/16/00,2000,,
22403,SKR,N,45,1,17,10/16/00,2000,,
22404,SKR,N,72,1,17,10/16/00,2000,,
22405,SKR,N,41,1,17,10/16/00,2000,,
22406,SKR,N,92,1,17,10/16/00,2000,,
22407,SKR,N,84,1,17,10/16/00,2000,,
22408,SKR,N,81,1,17,10/16/00,2000,,
22409,SKR,N,96,1,17,10/16/00,2000,,
22410,SKR,N,58,1,17,10/16/00,2000,,
22411,SKR,N,57,1,17,10/16/00,2000,,
22412,SKR,N,61,1,17,10/16/00,2000,,
22413,SKR,N,74,1,17,10/16/00,2000,,
22414,SKR,N,77,1,17,10/16/00,2000,,
22415,SKR,N,68,1,17,10/16/00,2000,,
22416,SKR,N,80,1,17,10/16/00,2000,,
22417,SKR,N,44,1,17,10/16/00,2000,,
22418,SKR,N,91,1,17,10/16/00,2000,,
22419,SKR,N,90,1,17,10/16/00,2000,,
22420,SKR,N,70,1,17,10/16/00,2000,,
22421,SKR,N,85,1,17,10/16/00,2000,,
22422,SKR,N,81,1,17,10/16/00,2000,,
22423,SKR,N,76,1,17,10/16/00,2000,,
22424,SKR,N,45,1,17,10/16/00,2000,,
22425,COT,N,83,1,17,10/16/00,2000,,
22426,COT,N,97,1,17,10/16/00,2000,,
22427,COT,N,74,1,17,10/16/00,2000,,
22428,COT,N,54,1,17,10/16/00,2000,,
22429,COT,N,101,1,17,10/16/00,2000,,
22430,COT,N,96,1,17,10/16/00,2000,,
22431,COT,N,99,1,17,10/16/00,2000,,
22432,COT,N,82,1,17,10/16/00,2000,,
22433,COT,N,95,1,17,10/16/00,2000,,
22434,COT,N,103,1,17,10/16/00,2000,,
34897,BBH,NN,236,10,21,10/14/02,2002,,
34898,BBH,NN,235,10,21,10/14/02,2002,,
37666,BBH,NN,130,6,21,10/14/02,2002,,
45267,BBH,NN,108,1,24,10/13/03,2003,,
47861,BBH,NN,85,10,28,10/18/04,2004,,
48430,BBH,NN,119,6,28,10/18/04,2004,,
53892,BBH,NN,118,1,31,10/17/05,2005,,
22435,COT,N,84,1,17,10/16/00,2000,,
22436,COT,N,85,1,17,10/16/00,2000,,
22437,COT,N,85,1,17,10/16/00,2000,,
